uid,accent,language_family,gender,age,reference,hypothesis,model
0,Kannada,Dravidian,Female,18-30,Our district Hasana was the land of the great Hoysala dynasty who ruled over this region from 11th to 14th century CE.,AVER DISTRICT CASINA WAS THE LAND OF THE GREAT HOISTEL A DYNASTY WHO RULED OVER THIS REGION FROM LEVENTH TO FOURTEENTH CENTURYS SEA,hybrid-w2v2-grl
1,Kannada,Dravidian,Female,30-45,There is a gradual shift in the mentality,THERE IS A GRADUAL SHIFT IN THE MENTALITY,hybrid-w2v2-grl
2,Dogri,Indo-Aryan,Female,18-30,Wow,A,hybrid-w2v2-grl
3,Maithili,Indo-Aryan,Female,45-60,Nipah virus belongs to  the,NIPPA VIRIS BELONGS TO THE,hybrid-w2v2-grl
4,Maithili,Indo-Aryan,Male,30-45,How much money is left in my Arunachal Pradesh Rural Bank account?,HOW MUCH MONEY IS LEFT IN MY ORNATURAL POTISE RUAL BANK ACCOUNT,hybrid-w2v2-grl
5,Bengali,Indo-Aryan,Female,30-45,Govinda has received 12 Filmfare Award nominations and 4 Zee Cine Awards.,OWENTER HAS RECEIVED TWELT  FILM FEAR AVORT NOMINATIONS AND FOR THE SCENA AVORDS,hybrid-w2v2-grl
6,Bodo,Sino-Tibetan,Male,45-60,There are many big rivers,THERE ARE MANY BIG RIAVERS,hybrid-w2v2-grl
7,Bodo,Sino-Tibetan,Male,30-45,where it is joined by other branches to form the Brahmaputra,WHERE IT IS JOINED BY AT ADVANTES TO FORM THE BRAMAPUT,hybrid-w2v2-grl
8,Malayalam,Dravidian,Female,18-30,There have been many attempts recently to make sure that the people maintain their,THERE HAVE BEEN A MANY ATTEMPTS RECENTLY TOMAKE SURE THAT THE PEOPLE MAINTAIN THER,hybrid-w2v2-grl
9,Dogri,Indo-Aryan,Female,18-30,"Jammu, Samba, Kathua, Rajouri, Poonch",JAMU SAMBA CATOA RAJORI PUNCH,hybrid-w2v2-grl
10,Kannada,Dravidian,Male,45-60,"Among the poets, I remember William Wordsworth, T.S.",AMONG THE PATS I REMEMBER WILLIUM WORTSEWORTH D CEL,hybrid-w2v2-grl
11,Assamese,Indo-Aryan,Female,30-45,What are the main social welfare and development programs and initiatives in your district?,WAT ARE THE MAIN SOSEAL WELFARE AND DEVELOMENT PROGRAMMS AND INICIATIVES IN NEW DISTANCE,hybrid-w2v2-grl
12,Marathi,Indo-Aryan,Female,18-30,normal competitions what we have.,THE NORMAL COMPETATIONS WHAT WE HAVE,hybrid-w2v2-grl
13,Odia,Indo-Aryan,Female,60+,what is an usual word and what is unusual words and phrases,WHAT IS AN USUAL WORD AND WHAT IS UNUSAL WORSE AND PRESESS,hybrid-w2v2-grl
14,Nepali,Indo-Aryan,Male,18-30,see this track as my professionalism but I used to manage some time in writing as my,SEAND THIS TRACK AS MAY PROVERSONALISM BUT I USED TO MANAGE SOME TIME IN WRITING AS M,hybrid-w2v2-grl
15,Malayalam,Dravidian,Male,30-45,Can you speak 5 numbers,CAN Y SPEAK FINE EMBERS,hybrid-w2v2-grl
16,Nepali,Indo-Aryan,Male,18-30,Will I be able to pay using UPI apps on Hotstar website?,WILL I BE ABLE TO PAY USING OU PIA APS ON O STY WIPSITE,hybrid-w2v2-grl
17,Nepali,Indo-Aryan,Female,30-45,Backward,,hybrid-w2v2-grl
18,Malayalam,Dravidian,Male,30-45,define the word absolute,EFIND THE VIRDASALUTE,hybrid-w2v2-grl
19,Nepali,Indo-Aryan,Male,45-60,Meghalaya is one of the less developed or underdeveloped states in northeastern India.,MEGALA IS ONE OF THE BLESS DEVELOPED AR UNDER DEVELOP ESTATES IN NORTHEASTERN INDIA,hybrid-w2v2-grl
20,Konkani,Indo-Aryan,Female,18-30,"literally feel how the people live in villages, how difficult their lives are, what all circumstances they go through, and I could sympathize with them.",OLD LITERALLY FEEL HOW THE PEOPLE LIVE IN VILLAGES HOW DEFICURE THEIR LIVES ARE WHAT ALE CIRCUMSTANCES THEY GO THROUGH AND I COULD SYMPATHIZE WITH THEM,hybrid-w2v2-grl
21,Hindi,Indo-Aryan,Female,45-60,it is something which gives you warmth and the flavours are very different from the kind of food we as North Indians eat.,IT IS SOMETHING WHICH GIVES YOU WARMTH AND THE FLAVORS AREVERY DIFFERENT FROM THE KIND OF FOOD WE AS NORTH INDIANS EAT,hybrid-w2v2-grl
22,Urdu,Indo-Aryan,Male,30-45,it is not only restricted to school books the school goers are asked by their RSS appointed teachers to attend the RSS shakhas from a young age thus enabling the Sangh Parivar to indoctrinate young impressionable minds,IT IS NOT ONLY RESTRICTED TO SCHOOLBOOKS THE SCHOOL GIRLS ARE ASKED BY THE ARISISAPPOINTED TEACHERS TO ATTEND THE ARRESSESS SHOCUS FROM A YOUNG AGETHIS ENABLING THE SUN PERYVAR TO INDUCTRINATE YOUNG IMPRESSIONABLE MINDS,hybrid-w2v2-grl
23,Odia,Indo-Aryan,Female,18-30,"So, as in our state, the government is launching a lot of programs and schemes for business, dealers and owners to make the traditional way of business into digitalization as it is more easier",SO AS IN OUR STATE THE GOVERNMENT IS LAUNCHING A LOT OF PROGRAMMES AND SCHEMES FOR BUSINESS DEALERS AND OWNERS TO MAKE THE TRADITIONAL WILL BEWAY OF BUSINESS INTO DEGITILIZATION AS IT IS MORE EASIER,hybrid-w2v2-grl
24,Punjabi,Indo-Aryan,Male,60+,"on each and every subject and he definitely deals with, handles all the good part of the happenings around the world.",ON EACH AND EVERY SUBJECT AND HEAT DEFTLY DEALS WITH HANDLES ALL THE GOOD PART OF THE HAPPENINGS AROUND THE WORLD,hybrid-w2v2-grl
