uid,accent,language_family,gender,age,reference,hypothesis,model
0,Kannada,Dravidian,Female,18-30,Our district Hasana was the land of the great Hoysala dynasty who ruled over this region from 11th to 14th century CE.,AVER DISTRICT CASSENAP WAS THE LAND OF THE GREAT HOISTELA DYNASTY WHO RULED OVER THIS RESON FROM LEVENTH TO FOURTEENTH CENTURIES S,wav2vec2-base
1,Kannada,Dravidian,Female,30-45,There is a gradual shift in the mentality,E THERE IS A GRADUAL SHIFT IN THE MENTALITY,wav2vec2-base
2,Dogri,Indo-Aryan,Female,18-30,Wow,NOW,wav2vec2-base
3,Maithili,Indo-Aryan,Female,45-60,Nipah virus belongs to  the,NIPAVALIS BELONGS TO THE,wav2vec2-base
4,Maithili,Indo-Aryan,Male,30-45,How much money is left in my Arunachal Pradesh Rural Bank account?,HOW MUCH MONEY IS LEFT IN MY ORNATURAL PO THIS RUAL BANK ACCOUNT,wav2vec2-base
5,Bengali,Indo-Aryan,Female,30-45,Govinda has received 12 Filmfare Award nominations and 4 Zee Cine Awards.,HOVENDA HAS RECEIVED DWELL FULFILM FEAR AWARD NOMINATIONS AND FOR THE SINE EWARDS,wav2vec2-base
6,Bodo,Sino-Tibetan,Male,45-60,There are many big rivers,THERE ARE MANY BIGREVERS,wav2vec2-base
7,Bodo,Sino-Tibetan,Male,30-45,where it is joined by other branches to form the Brahmaputra,WHERE IT IS JOINED BY AT ADVANTAGE TO FORM THE BRAMAPUTRU,wav2vec2-base
8,Malayalam,Dravidian,Female,18-30,There have been many attempts recently to make sure that the people maintain their,THERE HAVE BEEN A MANY ATTEMPTS DECENTLY TO MAKE SURE THAT THE PEOPLE MAINTAIN THER,wav2vec2-base
9,Dogri,Indo-Aryan,Female,18-30,"Jammu, Samba, Kathua, Rajouri, Poonch",DAMO SAMBA CATOA RADORI PONC,wav2vec2-base
10,Kannada,Dravidian,Male,45-60,"Among the poets, I remember William Wordsworth, T.S.",AMONG THE PERDS I REMEMBER A VILLIUM WORTHSWORTH DO YOU SEELY,wav2vec2-base
11,Assamese,Indo-Aryan,Female,30-45,What are the main social welfare and development programs and initiatives in your district?,WHAT ARE THE MEANS SO SEAL WELFARE AND DEVELOPMENT PROGRAMMS AND INICIATIVES IN YOUR DIS,wav2vec2-base
12,Marathi,Indo-Aryan,Female,18-30,normal competitions what we have.,THE NONMIL COMPINATIONS WHERE WE HAVE,wav2vec2-base
13,Odia,Indo-Aryan,Female,60+,what is an usual word and what is unusual words and phrases,WHAT IS AN USUAL WORD IN WHAT IS UNUSIAL WORS AND PRESISE,wav2vec2-base
14,Nepali,Indo-Aryan,Male,18-30,see this track as my professionalism but I used to manage some time in writing as my,SEE AN THIS TACT AS ME FOR VESONALISM BUT I USED TO MANAGE SOMETIME IN WRITING ASM,wav2vec2-base
15,Malayalam,Dravidian,Male,30-45,Can you speak 5 numbers,CAN YOU SPEAK FINE NEMBERS,wav2vec2-base
16,Nepali,Indo-Aryan,Male,18-30,Will I be able to pay using UPI apps on Hotstar website?,WILL I BE ABLE TO BAY YOU DE YOU BEA ABS ON WHAT STI OF SIGHT,wav2vec2-base
17,Nepali,Indo-Aryan,Female,30-45,Backward,B,wav2vec2-base
18,Malayalam,Dravidian,Male,30-45,define the word absolute,DEFI THE VD ABIO,wav2vec2-base
19,Nepali,Indo-Aryan,Male,45-60,Meghalaya is one of the less developed or underdeveloped states in northeastern India.,MAGELA IS ONE OF THE BLESS DELOOR UNDER DEVLO ESTATES IN NORTHISTERN INDIA,wav2vec2-base
20,Konkani,Indo-Aryan,Female,18-30,"literally feel how the people live in villages, how difficult their lives are, what all circumstances they go through, and I could sympathize with them.",OU LITERALLY FEEL HOW THE PEOPLE LIVIN VILLAGES HOW TO FICKURE THEIR LIVES ARE WHAT ALL CIRCUMSTANCES THEY GO THROUGH AND I COULD SYMPATHIZE WITH THEM,wav2vec2-base
21,Hindi,Indo-Aryan,Female,45-60,it is something which gives you warmth and the flavours are very different from the kind of food we as North Indians eat.,IT IS SOMETHING WHICH GIVES YOU WARMTH AND THE FLAVORS ARE VERY DIFFERENT FROM THE KIND OF FOOD WE AS NOT INDIANS EAT,wav2vec2-base
22,Urdu,Indo-Aryan,Male,30-45,it is not only restricted to school books the school goers are asked by their RSS appointed teachers to attend the RSS shakhas from a young age thus enabling the Sangh Parivar to indoctrinate young impressionable minds,IT IS NOT ONLY RESTRICTED TO SCHOOL BOOKS THE SCHOOL GORS ARE ASKED BY THE ARISISAPPOINTED TEACHERS TO ATTEND THE ARTISES SHUCK US FROM A YOUNG AUGE IT IS ANYBLING THE SUN PEIVAR TO INDUCTRIN ITE YOUNG IMPRESSIONABLE MINDS,wav2vec2-base
23,Odia,Indo-Aryan,Female,18-30,"So, as in our state, the government is launching a lot of programs and schemes for business, dealers and owners to make the traditional way of business into digitalization as it is more easier",SO AS IN OUR STATE THE GOVERNMENT IS LAUNCHING A LOT OF PROGRAMMES AND SCHEMES FOR BUSINESS BEALERS AND OWNERS OR TO MAKE THE TRADITIONAL WIL BEWAY OF BUSINESS INTO DEGUTILIZATION AS IT IS MORE EASIER,wav2vec2-base
24,Punjabi,Indo-Aryan,Male,60+,"on each and every subject and he definitely deals with, handles all the good part of the happenings around the world.",ON EACH AND EVERY SUBJECT AND HEAT DECLE DEALS WITH EHANDLES ALL THE A GOOD PART OF  THE HAPPENINGS AROUND THE WORD,wav2vec2-base
25,Maithili,Indo-Aryan,Male,30-45,So these are some of the features of Mithila cooking.,SO THESE ARE SOME OF THE FEATURES OF FOMITLAGOKING,wav2vec2-base
26,Konkani,Indo-Aryan,Male,60+,English breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience.,ENGLISH BREAKS THE COMMUNICATION BARRIERS BETWEEN PEOPLE OF DRIVERS CULTURAL BACKGROUND AND IT CREATES A NEW COMMUNITY WHERE PEOPLE COME TOGETHER AND SHARE THEIR CULTURES AND IDEAS WITH BROADER AUDIENCE,wav2vec2-base
27,Punjabi,Indo-Aryan,Male,30-45,Play,,wav2vec2-base
28,Kashmiri,Indo-Aryan,Male,45-60,Visual,EL,wav2vec2-base
29,Tamil,Dravidian,Female,18-30,"And also, people speaking English have different accents in different regions.",AND ALSO PEOPLE SPEAKING ENGLISH HAVE DIFFERENT ACCENTS OF IN DIFFERENT REGIONS,wav2vec2-base
30,Punjabi,Indo-Aryan,Male,30-45,"Education, Health, Care, Poverty, Reduction, Women's Empowerment",DISTRICT EDUCATION HELD CURE BOWARDLY REDUCTION WOMAN'S EMPOR MEN,wav2vec2-base
31,Marathi,Indo-Aryan,Male,60+,source language,SORSE LANGUAGE,wav2vec2-base
32,Telugu,Dravidian,Female,45-60,"trains,",GRAINS,wav2vec2-base
33,Assamese,Indo-Aryan,Male,30-45,Cat,,wav2vec2-base
34,Kashmiri,Indo-Aryan,Female,30-45,"Through poetry, I can put my thoughts on a display more creatively.",ROUGH BOY TREE I CAN PUT MY THOUGHTS ONO DISTLY MORE CREATIVELY E THAN,wav2vec2-base
35,Malayalam,Dravidian,Female,18-30,The main food of,TE MANCUDE,wav2vec2-base
36,Nepali,Indo-Aryan,Male,18-30,who is physically challenged or disordered in real life but with the guts and a great contribution in the literature,WE IS PHYSICALLY TALENGED OR DISORDER IN REAL LIFE BUT WITH THE GOODS AND A GREAT CONTUITION INDERITUTURE,wav2vec2-base
37,Kannada,Dravidian,Male,18-30,our local traditions and beliefs by giving an opportunity,OUR LOCAL TRADITIONS AND BELIEFS BY GIVING AN OPPORTUNITY,wav2vec2-base
38,Nepali,Indo-Aryan,Female,45-60,Are there any vaccination centres available in South Goa district for age group 18+ years,ARE THERE ANY VECUNITIONS AN DOS AVILABLE IN SOUTH GOA DISTRICT FOR AGE GROUVE EIGHTEEN BLURS YEARS,wav2vec2-base
39,Marathi,Indo-Aryan,Female,30-45,hang on the rock. I find it useful and best because it helps me that we climb faster.,HANG ON THE OR ROCK EN I FIND IT USEFUL AND BEST BECAUSE IT HELP ME TAT ME CLIMB FA,wav2vec2-base
40,Hindi,Indo-Aryan,Female,18-30,Can you list all the vaccination centres where First Dose of COVAXIN is available for age groups 15-17 years,CANNULIST ALL THE VEXINITIONS ENTERS WHERE FORS DOSE OF CO AXING IS EVALABLE FOR AGE GRUP FIFTEEN TO SEVENTEEN YEARS,wav2vec2-base
41,Telugu,Dravidian,Female,45-60,and they went off into the space when earth was burning up or being destroyed,THEY WENT OFF INTO THE SPECE WH END ATTHER WAS BURNING UP OROR BEING DESTROYED,wav2vec2-base
42,Telugu,Dravidian,Female,45-60,that I came here.,THE DAY CAME HU SOME,wav2vec2-base
43,Urdu,Indo-Aryan,Male,45-60,send a complaint to consumer service of this company,SANDA COMPLAINT TO CONSUMALSEVICE OF THIS COMPANY,wav2vec2-base
44,Kashmiri,Indo-Aryan,Female,30-45,"In the university, I learned the technicalities of language since I am a linguistics student.",EN THE UNIVERSITY I LEARNED THE TECHNICALITIES OF LANGUAGE ANCE IAMEUR LINGUISTIX STUDENT,wav2vec2-base
45,Malayalam,Dravidian,Female,18-30,"embroidery. And there we use to teach us the basic embroidery patterns like running stage,",EMBROIDERY AND A THERE VIEW TH USE TO TEACH US ARE THE BASIC ELMER EMBROIDERY BACK DOWN TO LIKE RUNNING STAGE,wav2vec2-base
46,Bengali,Indo-Aryan,Male,60+,Book a HP gas cylinder using my registered contact number 79083174897,BOOGAGE WE GET CYLINDERD USING WY THE ISTIRD CONDUCT NUMBER SEVEN NINETYTO EIGHTYN ONE SEVEN POOR EIGHT NINE SEVEN,wav2vec2-base
47,Kashmiri,Indo-Aryan,Female,30-45,English was taught quite effectively by our teachers. They stressed upon the importance and use of grammar and the students were expected to give their 100% in learning the language.,ENGLISH WAS TAUGHT QUITE EFFECTIVELY BY OUR TEACHERS THIS STRESSET UPON THE IMPORTANCE AND EWS OF GRAMMAR AND THE STUDENTS WERE EXPECTED TO GIVE THEIR HUNDRED PERCENT IN LEARNING THE LANGUAGE,wav2vec2-base
48,Urdu,Indo-Aryan,Female,45-60,the colleges of art literature,THE COLLEGES OF ART LITERATURE,wav2vec2-base
49,Tamil,Dravidian,Female,18-30,"the change in season. For example, it is extremely cold during the winters and is extremely hot during the summer; so this shift",THE CHANGE IN SEASON FOR EXAMPLE IT IS EXTREMELY COLD DURING THE WINTERS AND IS EXTREMELY HOT DURING THE SUMMERS OF THIS SHIFT,wav2vec2-base
50,Bengali,Indo-Aryan,Male,18-30,Show my DTH bill readings from the last 6 months.,SHOW MY DETY GE BILREADINGS FROM THE LAST SIX MONTHS,wav2vec2-base
51,Gujarati,Indo-Aryan,Male,18-30,And not much is left at the behest of the writer or author and grammar punctuation is very well structured and written and documented as well,AND THER NOT MUCH IS LEFT AT THE BEHIS OF THE WRITER OROTER AND THE GRANDMAR PONCUSIN HIS VERY WISH TOCCURD AND WRITTEN AND DOCUMENTED AS WILL,wav2vec2-base
52,Marathi,Indo-Aryan,Female,18-30,to everybody.,TO ATEBE,wav2vec2-base
53,Gujarati,Indo-Aryan,Female,30-45,"The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.",THE RADIATION THE CHIMOTERAPI EVERYTHING EVERY EVERY OPTION FOR CANSER TREATMENT IS OF A LABOUR OVER HERE AND IS IT IS LARGELY USED NOT ONLY BY THE PEOPLE OF GUDRETH BUT ALSO BY THE NEAR BY STATES,wav2vec2-base
54,Konkani,Indo-Aryan,Female,18-30,"how difficult their lives are, what all circumstances they go through,",HOW DIFFICKUR THEIR LIVES ARE WHAT ALL CIRCUMSTANCES THEY GO THROUGH,wav2vec2-base
55,Telugu,Dravidian,Female,45-60,You are 2 hours late than the delivery time for my products Pantene Bamboo Shampoo and 24 Mantra Chana Dal,YOU ARE TWO HOURS LATE THAN THE DELIVERY TIME FOR MY PRODUTS PANTIN BAMBO CHAMPO AND TWENTY FOUR MANTRA CANADAL,wav2vec2-base
56,Urdu,Indo-Aryan,Male,30-45,List all items from Pet food items.,LIST ALL ITEMS FROM PED FOOD ITEMS,wav2vec2-base
57,Telugu,Dravidian,Female,45-60,What is your favorite painting style or technique and why?,WHAT IS YOUR FAVORITE PAINTING STALE OR TECHNIC AND WHY,wav2vec2-base
58,Kashmiri,Indo-Aryan,Male,45-60,show me what day the thirty first is on,SHOW ME WHAT DID THE TATY FIRST IS ON,wav2vec2-base
59,Odia,Indo-Aryan,Female,18-30,Are there any vaccination centres available in Bhandara district for age group 15-17 years,ARE THERE ANY MAXINITION CENTRS AVAILABLE IN BANDARA DISTRICT FOR AGEGREW FIFTEEN TO SEVENTEEN YEARS,wav2vec2-base
60,Urdu,Indo-Aryan,Male,30-45,whereby humans are entrusted with the safe keeping of earth and its variety of life.,WHEREBY HUMANS ARE INTRUSTED WITH THE SAFE KEEPING OF EARTH AND IXVARIETY OF LIFE,wav2vec2-base
61,Malayalam,Dravidian,Female,30-45,It's about an abused Malayali migrant worker employed in Saudi Arabia as a Goddard against his will.,ITS AN ABOUT ABUSED MALLALY IN MYGRANWULGOR EMPLODD IN SOUTHYARABIA AS A GORDED AGAINST HIS WILL,wav2vec2-base
