uid,accent,language_family,gender,age,reference,hypothesis,model
0,Kannada,Dravidian,Female,18-30,Our district Hasana was the land of the great Hoysala dynasty who ruled over this region from 11th to 14th century CE.," Our district has an opportunity to visit the land of the Great Huesala dynasty, who ruled over this region from 11th to 14th century CE.",whisper-tiny
1,Kannada,Dravidian,Female,30-45,There is a gradual shift in the mentality, There is a gradual shift in the mentality.,whisper-tiny
2,Dogri,Indo-Aryan,Female,18-30,Wow, Well.,whisper-tiny
3,Maithili,Indo-Aryan,Female,45-60,Nipah virus belongs to  the," Nippa Vaires, belongs to the...",whisper-tiny
4,Maithili,Indo-Aryan,Male,30-45,How much money is left in my Arunachal Pradesh Rural Bank account?, How much money is left in my Arunacharya produce rural bank account?,whisper-tiny
5,Bengali,Indo-Aryan,Female,30-45,Govinda has received 12 Filmfare Award nominations and 4 Zee Cine Awards., Ovenda has received 12 film fear award nominations and 4 ZCNA awards.,whisper-tiny
6,Bodo,Sino-Tibetan,Male,45-60,There are many big rivers, There are many big rivers.,whisper-tiny
7,Bodo,Sino-Tibetan,Male,30-45,where it is joined by other branches to form the Brahmaputra, where it is joined by other branches to form the Brahmaputras.,whisper-tiny
8,Malayalam,Dravidian,Female,18-30,There have been many attempts recently to make sure that the people maintain their, There have been many attempts recently to make sure that the people maintain their,whisper-tiny
9,Dogri,Indo-Aryan,Female,18-30,"Jammu, Samba, Kathua, Rajouri, Poonch"," Jamu, sambha, ketuwa, redori, punch.",whisper-tiny
10,Kannada,Dravidian,Male,45-60,"Among the poets, I remember William Wordsworth, T.S."," Among the pads, I remember William Worseworth, T.S.E.L.",whisper-tiny
11,Assamese,Indo-Aryan,Female,30-45,What are the main social welfare and development programs and initiatives in your district?, Water the main social welfare and development programs and initiatives in your list.,whisper-tiny
12,Marathi,Indo-Aryan,Female,18-30,normal competitions what we have., the normal competitions what we have,whisper-tiny
13,Odia,Indo-Aryan,Female,60+,what is an usual word and what is unusual words and phrases, What is an usual word and what is unusual words and phrases?,whisper-tiny
14,Nepali,Indo-Aryan,Male,18-30,see this track as my professionalism but I used to manage some time in writing as my," see and distract as my provisionalism, but I used to manage some time in writing as my",whisper-tiny
15,Malayalam,Dravidian,Male,30-45,Can you speak 5 numbers, Can you speak fine numbers?,whisper-tiny
16,Nepali,Indo-Aryan,Male,18-30,Will I be able to pay using UPI apps on Hotstar website?, will I be able to pay using UPI apps on our style website?,whisper-tiny
17,Nepali,Indo-Aryan,Female,30-45,Backward, Backward.,whisper-tiny
18,Malayalam,Dravidian,Male,30-45,define the word absolute, define the word absolute.,whisper-tiny
19,Nepali,Indo-Aryan,Male,45-60,Meghalaya is one of the less developed or underdeveloped states in northeastern India., Meghala is one of the less developed or under developed states in Northeastern India.,whisper-tiny
20,Konkani,Indo-Aryan,Female,18-30,"literally feel how the people live in villages, how difficult their lives are, what all circumstances they go through, and I could sympathize with them."," could literally feel how the people live in villages, how difficult their lives are, what also comes stances they go through. And I could sympathize with them.",whisper-tiny
21,Hindi,Indo-Aryan,Female,45-60,it is something which gives you warmth and the flavours are very different from the kind of food we as North Indians eat., It is something which gives you warmth and the flavors are very different from the kind of food we as North Indians eat.,whisper-tiny
22,Urdu,Indo-Aryan,Male,30-45,it is not only restricted to school books the school goers are asked by their RSS appointed teachers to attend the RSS shakhas from a young age thus enabling the Sangh Parivar to indoctrinate young impressionable minds, It is not only restricted to school books. The school goers are asked by the RSS appointed teachers to attend the RSS Shaffa's from a young age. This enabling the son perivar to indoctrinate young impressionable minds,whisper-tiny
23,Odia,Indo-Aryan,Female,18-30,"So, as in our state, the government is launching a lot of programs and schemes for business, dealers and owners to make the traditional way of business into digitalization as it is more easier"," So, as an asset, the government is launching a lot of programs and schemes for business dealers and owners to make the traditional way of business into digitalization as it is more easier.",whisper-tiny
24,Punjabi,Indo-Aryan,Male,60+,"on each and every subject and he definitely deals with, handles all the good part of the happenings around the world.", on each and every subject and heat definitely deals with handles all the good part of the happenings around the world.,whisper-tiny
25,Maithili,Indo-Aryan,Male,30-45,So these are some of the features of Mithila cooking., So these are some of the features of Metal Aguking.,whisper-tiny
26,Konkani,Indo-Aryan,Male,60+,English breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience., English breaks the communication barriers between people of drivers' cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience.,whisper-tiny
27,Punjabi,Indo-Aryan,Male,30-45,Play, Hopefully.,whisper-tiny
28,Kashmiri,Indo-Aryan,Male,45-60,Visual, Visual.,whisper-tiny
29,Tamil,Dravidian,Female,18-30,"And also, people speaking English have different accents in different regions.", and also people speaking English have different accents in different regions.,whisper-tiny
30,Punjabi,Indo-Aryan,Male,30-45,"Education, Health, Care, Poverty, Reduction, Women's Empowerment", district education health care poverty reduction woman's empowerment.,whisper-tiny
31,Marathi,Indo-Aryan,Male,60+,source language, source language.,whisper-tiny
32,Telugu,Dravidian,Female,45-60,"trains,", brains,whisper-tiny
33,Assamese,Indo-Aryan,Male,30-45,Cat, Again.,whisper-tiny
34,Kashmiri,Indo-Aryan,Female,30-45,"Through poetry, I can put my thoughts on a display more creatively."," to avoid tree, I can put my thoughts on a display more creatively.",whisper-tiny
35,Malayalam,Dravidian,Female,18-30,The main food of, The main foot of,whisper-tiny
36,Nepali,Indo-Aryan,Male,18-30,who is physically challenged or disordered in real life but with the guts and a great contribution in the literature," with physical intelligence or disorder in real life, but with the guts and great contribution in literature.",whisper-tiny
37,Kannada,Dravidian,Male,18-30,our local traditions and beliefs by giving an opportunity, are local traditions and beliefs by giving an opportunity.,whisper-tiny
38,Nepali,Indo-Aryan,Female,45-60,Are there any vaccination centres available in South Goa district for age group 18+ years, Are there any vaccinations and doce available in South Goa District for age group? 80 plus years.,whisper-tiny
39,Marathi,Indo-Aryan,Female,30-45,hang on the rock. I find it useful and best because it helps me that we climb faster., hang on the rock and I find it useful and best because it helped me that way climb fast,whisper-tiny
40,Hindi,Indo-Aryan,Female,18-30,Can you list all the vaccination centres where First Dose of COVAXIN is available for age groups 15-17 years, Can you list all the vaccinations and doors where first doors of co-vaccine is available for age groups 15 to 17 years?,whisper-tiny
41,Telugu,Dravidian,Female,45-60,and they went off into the space when earth was burning up or being destroyed, They went off into the space when Earth was burning up or being destroyed.,whisper-tiny
42,Telugu,Dravidian,Female,45-60,that I came here., the day came here.,whisper-tiny
43,Urdu,Indo-Aryan,Male,45-60,send a complaint to consumer service of this company, Sand a complaint to consumer service of this company.,whisper-tiny
44,Kashmiri,Indo-Aryan,Female,30-45,"In the university, I learned the technicalities of language since I am a linguistics student.", In the University I learned the technicalities of language and time of linguistics student.,whisper-tiny
45,Malayalam,Dravidian,Female,18-30,"embroidery. And there we use to teach us the basic embroidery patterns like running stage,", embroidery and there you these two teachers the basic embroidery pattern like running stage,whisper-tiny
46,Bengali,Indo-Aryan,Male,60+,Book a HP gas cylinder using my registered contact number 79083174897, bouquet hvgassilerender using my registered contact number 79083174897.,whisper-tiny
47,Kashmiri,Indo-Aryan,Female,30-45,English was taught quite effectively by our teachers. They stressed upon the importance and use of grammar and the students were expected to give their 100% in learning the language., English was taught quite effectively by our teachers. They stressed upon the importance and use of grammar and the students were expected to give their 100% in learning the language.,whisper-tiny
48,Urdu,Indo-Aryan,Female,45-60,the colleges of art literature, The Colleges of Art Literature,whisper-tiny
49,Tamil,Dravidian,Female,18-30,"the change in season. For example, it is extremely cold during the winters and is extremely hot during the summer; so this shift", the change in season for example it is extremely cold during the winter and is extremely hot during the summer so this shift,whisper-tiny
50,Bengali,Indo-Aryan,Male,18-30,Show my DTH bill readings from the last 6 months., Show my DTH build ratings from the last 6 months.,whisper-tiny
51,Gujarati,Indo-Aryan,Male,18-30,And not much is left at the behest of the writer or author and grammar punctuation is very well structured and written and documented as well, And not much is left at the behest of the writer or author. And the grammar punctuation is very very structured and written and documented as well.,whisper-tiny
52,Marathi,Indo-Aryan,Female,18-30,to everybody., everybody.,whisper-tiny
53,Gujarati,Indo-Aryan,Female,30-45,"The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states."," The radiation, the chemotherapy, everything, every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.",whisper-tiny
